short_name,long_name
RLS-DI,Restless Legs Syndrome-Diagnostic Index
WPAI:BD,Work Productivity and Activity Impairment Questionnaire: Bipolar Disorder
WPAI:Hepatitis C,Work Productivity and Activity Impairment Questionnaire: Hepatitis C
NSS,Narcolepsy Severity Scale
PROMIS Item Bank v1.0 – Substance Use/Alcohol: Negative Consequences,Patient-Reported Ou...
PROMIS Item Bank v1.0 Substance Use/Alcohol: Negative Expectancies,Patient-Reported Outc...
PROMIS Item Bank v1.0 Substance Use/Alcohol: Positive Consequences,Patient-Reported Outc...
PROMIS Item Bank v1.0 Substance Use/Alcohol: Positive Expectancies,Patient-Reported Outc...
PROMIS Ca Item Bank v1.0 - Emotional Distress - Depression,Patient-Reported Outcomes Mea...
QSU-Brief,Brief Questionnaire on Smoking Urge
NFOG-Q,New Freezing of Gait Questionnaire
FPHPQ,Fabry-specific Pediatric Health and Pain Questionnaire
FKSI-15,Functional Assessment of Cancer Therapy-Kidney Symptom Index
WPAI:AA-IVRS,"Work Productivity and Activity Impairment Questionnaire: Allergic Asthma, I..."
WPAI:AA,"Work Productivity and Activity Impairment Questionnaire: Allergic Asthma, Versio..."
WPAI:LLF,Work Productivity and Activity Impairment Questionnaire: Lower Limb Fracture
WPAI:IBD,Work Productivity and Activity Impairment Questionnaire: Inflammatory Bowel Dis...
WPAI:FMS-Pain,Work Productivity and Activity Impairment Questionnaire: Pain Associated w...
WPAI:GOUT,Work Productivity and Activity Impairment Questionnaire: Gout
WPAI:Spondyloarthritis v2.0,Work Productivity and Activity Impairment Questionnaire: Spo...
WPAI:NV v2.0,Work Productivity and Activity Impairment Questionnaire: Nausea and Vomitin...
WPAI:MS v2.0,Work Productivity and Activity Impairment Questionnaire: Multiple Sclerosis...
WPAI:PsA v2.0,Work Productivity and Activity Impairment Questionnaire: Psoriatic Arthrit...
WPAI:US v2.0,"Work Productivity and Activity Impairment Questionnaire: Urinary Symptoms, ..."
PROMIS SexFS Profile v1.0 – Female,PROMIS Sexual Function and Satisfaction Profile v1.0 ...
PROMIS SexFS Profile v1.0 – Male,PROMIS Sexual Function and Satisfaction Profile v1.0 – ...
WPAI: Constipation v2.0,Work Productivity and Activity Impairment Questionnaire: Constip...
WPAI:ANS v2.0,"Work Productivity and Activity Impairment Questionnaire: Anemic Symptoms, ..."
WPAI:Axial Spondyloarthritis v2.0,Work Productivity and Activity Impairment Questionnair...
WPAI:RS v2.0,Work Productivity and Activity Impairment Questionnaire: Respiratory Sympto...
WPAI:CU v2.0,"Work Productivity and Activity Impairment Questionnaire: Chronic Urticaria,..."
PROMIS SexFS Brief Profile v1.0 – Female,Patient-Reported Outcomes Measurement Informati...
PROMIS SexFS Brief Profile v1.0 – Male,Patient-Reported Outcomes Measurement Information...
WPAI:TTR Amyloidosis-CG v2.0,Work Productivity and Activity Impairment Questionnaire: TT...
WPAI:Hidradenitis Suppurativa v2.0,Work Productivity and Activity Impairment Questionnai...
WPAI+CIQ:IBS v2.0,Work Productivity and Activity Impairment Questionnaire: plus Classroo...
WPAI:CRPC v2.0,Work Productivity and Activity Impairment Questionnaire: Castration-Resis...
PROMIS SexFS Profile v1.0 – Male &amp; Female,PROMIS Sexual Function and Satisfaction Profil...
WPAI:CRPC-CG v2.0,Work Productivity and Activity Impairment Questionnaire: Castration-Re...
WPAI:DU v2.0,"Work Productivity and Activity Impairment Questionnaire: Digital Ulcers, Ve..."
WPAI:AD v2.0,"Work Productivity and Activity Impairment Questionnaire: Atopic Dermatitis,..."
WPAI:Headache v2.0,"Work Productivity and Activity Impairment Questionnaire: Headache, Ve..."
WPAI:UF v2.0,"Work Productivity and Activity Impairment Questionnaire: Uterine Fibroids, ..."
PneumoPRO©,Community-Acquired Bacterial Pneumonia Symptom Diary
MSWDQ-23,Multiple Sclerosis Work Difficulties Questionnaire - Short version
MSWDQ,Multiple Sclerosis Work Difficulties Questionnaire
SKINFECT PRO©,Acute Bacterial Skin and Skin Structure Infections Symptom Diary
P-OMAQ-P,Pediatric Oral Medicine Acceptability Questionnaire - Patient Version
P-OMAQ-C,Pediatric Oral Medicine Acceptability Questionnaire - Caregiver Version
Adapted INHIB-QoL,Inhibitor-Specific Quality of Life with Aspects of Caregiver Burden
Rutherford classification,Rutherford classification
FACT-EF,Functional Assessment of Cancer Therapy - Enteral Feeding
FACT-EGFRI-18,Functional Assessment of Cancer Therapy - Epidermal Growth Factor Receptor...
FACT-GOG-NTX,Functional Assessment of Cancer Therapy - Gynecologic Oncology Group-Neurot...
FACIT-TS-G,Functional Assessment of Chronic Illness Therapy - Treatment Satisfaction - G...
MD-CRS (0-3),Movement Disorder - Childhood Rating Scale (0-3 yrs)
ThyTSQ,Underactive Thyroid Treatment Satisfaction Questionnaire
CCS,Complexity Communication Scale
CHRT-SR14,CHRT-SR14 - Concise Health Risk Tracking - 14-item self-report
ABOUT™—Dependence,ABOUT™—Dependence
faVIQ,Functional ability Quality of Vision
NAVQ,Near Activity Visual Questionnaire
OnyCOE-t™,Quality of Life Questionnaire Onychomycosis (Nail fungal condition)
APPLIQue,Alzheimer's Patient Partners Life Impact Questionnaire
PRISM,Patient-Reported Impact of Scars Measure
PSORIQoL,Psoriasis Index of Quality of Life
QoL-AGHDA,Quality of Life Assessment of Growth Hormone Deficiency in Adults
BOCLIR,Bowel Cleansing Impact Review
CLIQ,Crohn's Life Impact Questionnaire
PNIQ,Parenteral Nutrition Impact Questionnaire
PlexiQoL,Plexiform neurofibromas Quality of Life measure
FDM,Family Disruption Measure-Chickenpox
PRIMUS,Patient Reported Outcome indices for Multiple Sclerosis
ALIS,Asthma Life Impact Scale
LCOPD,Living with Chronic Obstructive Pulmonary Disease
OAQoL,Osteoarthritis Quality of Life measure
PD Home Diary,Parkinson's Disease Home Diary
WISP,Well-Being in Surgical Patients
IQoLI,Incontinence Quality of Life Index
UGAQoL,Urogenital Atrophy Quality of Life
SLEDAI,Systemic Lupus Erythematosus Disease Activity Index
DDS,Diabetes Distress Scale
DDS2,Brief Diabetes Distress Screening Instrument
FACIT-Pal,Functional Assessment of Chronic Illness Therapy - Palliative Care
FACT-BMT,Functional Assessment of Cancer Therapy - Bone Marrow Transplantation
FACIT-AD,Functional Assessment of Chronic Illness Therapy for Patients With Abdominal sy...
FACIT-AI,Functional Assessment of Chronic Illness Therapy-Ascites Index
FACIT-CD,Functional Assessment of Chronic Illness Therapy - Cervical Dysplasia
FACT-BP,Functional Assessment of Cancer Therapy - Bone Pain
FACT-Cog,Functional Assessment of Cancer Therapy - Cognitive function issues
3TUG,Triple Timed-Up-and-Go test
PDHSQ,Parkinson's Disease Home Safety Questionnaire
FoRSe,Fear of Recurrence Scale
CDI-DaySyms,Clostridium Difficile Infection Daily Symptoms
SCI-CAT,Spinal Cord Injury Computer Adaptive Test
NIMH-GOCRS,National Institute of Mental Health Global Obsessive Compulsive Rating Scale
PSAAD,Pruritus and Symptoms Assessment for Atopic Dermatitis
ADerm-SS,Atopic Dermatitis Symptom Scale
ADerm-IS,Atopic Dermatitis Impact Scale
ItchyQoL - Frequency version,ItchyQoL - Frequency version
PBI-P,Patient Benefit Index- Pruritus
ItchApp©,ItchApp©
BD-QoL,Behçet's disease Quality of Life
PAHQoL,Pulmonary Arterial Hypertension Quality of Life
VLU-QoL,Venous Leg Ulcer Quality of Life
HypoA-Q SF,Hypoglycaemia Awareness Questionnaire Short Form
HypoA-Q Past month,Hypoglycaemia Awareness Questionnaire Past month
Vineland III Comprehensive Interview Form,Vineland Adaptive Behaviour Scales - Third Edi...
AS-WIS,Ankylosing Spondylitis Work Instability Scale
BDCAF/BDAI,Behçets Disease Activity Index
ChARM,Children's Arm Rehabilitation Measure
ENAT,Arthritis Educational Needs Assessment Tool
FPI,Foot Posture Index
LASIS,Leeds Arm Spasticity Scale
LFIS-RA,Leeds Foot Impact Scale for Rheumatoid Arthritis
LMSQOL,Leeds Multiple Sclerosis Quality of Life scale
LSS,Leeds Spasticity Scale
MS-WIS,Multiple Sclerosis - specific Work Instability Scale
NFI-MND,Neurological Fatigue Index - Motor Neurone Disease
NFI-MS,Neurological Fatigue Index - Multiple Sclerosis
NFI-Stroke,Neurological Fatigue Index - Stroke
NSI-MS,Neurological Sleep Index - Multiple Sclerosis
Nurse-WIS,Nurse-Work Instability Scale
SSc-QoL,Systemic Sclerosis Quality of Life Scale
Stroke-QoL,Systemic Sclerosis Quality of Life Scale
TBI-WIS,Traumatic Brain Injury Work Instability Scale
PBI-Vit,Patient Benefit Index - Vitiligo
PBI 2.0,Patient Benefit Index 2.0
NIH Toolbox - Motor - Balance,NIH Toolbox - Motor - Balance
NIH Toolbox - Motor - Endurance,NIH Toolbox - Motor - Endurance
NIH Toolbox - Motor - Locomotion,NIH Toolbox - Motor - Locomotion
HIVTSQs,HIV Treatment Satisfaction Questionnaire - Status version
HIVTSQc,HIV Treatment Satisfaction Questionnaire - Change version
HVLT,Hopkins Verbal Learning Test
NIH Toolbox - Flanker Inhibitory Control and Attention Test Ages 3-7 v2.1,NIH Toolbox - ...
NIH Toolbox - Flanker Inhibitory Control and Attention Test Ages 12+ v2.1,NIH Toolbox - ...
NIH TPSMT Age 7 Form A v2.1,NIH Toolbox -  Picture Sequence Memory Test  Age 7 Form A v2...
NIH TPSMT Age 7 Form B v2.1,NIH Toolbox Picture Sequence Memory Test Age 7 Form B v2.1
NIH Toolbox - List Sorting Working Memory Test Ages 3-6 v2.1,NIH Toolbox - List Sorting ...
NIH TPVT 3+ v2.1,NIH Toolbox - Picture Vocabulary Test Age 3+ v2.1
NIH Toolbox - DCCS Test Age 3-7 v2.1,NIH Toolbox - Dimensional Change Card Sort Test Age...
NIH Toolbox - Pattern Comparison Processing Speed Test Age 7+ v2.1,NIH Toolbox - Pattern...
CAADID™,Conners' Adult ADHD Diagnostic Interview for DSM-IV™
NFBSI-16,National Comprehensive Cancer Network-Functional Assessment of Cancer Therapy-B...
NIH Toolbox - Words-in-Noise Test Age 6+ v2.1,NIH Toolbox - Words-in-Noise Test Age 6+ v...
NIH Toolbox - Visual Acuity Test Age 8+ v2.0,NIH Toolbox - Visual Acuity Test Age 8+ v2....
NIH Toolbox - Visual Acuity Test Ages 3-7 v2.0,NIH Toolbox - Visual Acuity Test Ages 3-7...
NIH Toolbox - Dynamic Visual Acuity Test Age 8+ v2.0,NIH Toolbox - Dynamic Visual Acuity...
NIH Toolbox - Dynamic Visual Acuity Test Age 3-7 v2.0,NIH Toolbox - Dynamic Visual Acuit...
NIH Toolbox - Odor Identification Test Age 10+ v2.0,NIH Toolbox - Odor Identification Te...
NIH Toolbox - Odor Identification Test Ages 3-9 v2.0,NIH Toolbox - Odor Identification T...
NIH Toolbox - Sensation - Taste,NIH Toolbox - Sensation - Taste
NIH Toolbox - Hearing Handicap Inventory Ages 65+,NIH Toolbox - Hearing Handicap Invento...
NIH Toolbox - Pain Intensity Fixed Form Age 18+ v2.0,NIH Toolbox - Pain Intensity Fixed ...
NIH Toolbox - Pain Interference CAT Age 18+ v2.0,NIH Toolbox - Pain Interference CAT Age...
NIH Toolbox - Vision-Related Quality of Life Age 18+,NIH Toolbox - Vision-Related Qualit...
HFRDIS,Hot Flash Related Daily Interference Scale
HFI,Hot Flash Interference scale
IEQ / IEQ-EU,Involvement Evaluation Questionnaire
PROMIS Ca Item Bank v1.0 - Emotional Distress - Anxiety,Patient-Reported Outcomes Measur...
KSQ,King's Sarcoidosis Questionnaire
"AM-PAC ""6-Clicks"" Daily activity form","Activity Measure for Post Acute Care ""6-Clicks"" Da..."
NIH Toolbox - Positive Affect Parent Report FF Ages 3-7 v2.0,NIH Toolbox - Positive Affe...
SCI-FI SFs,Spinal Cord Injury–Functional Index short forms
SCI-FI/AT,Spinal Cord Injury - Functional Index/Assistive Technology
SCI-FI/AT SFs,Spinal Cord Injury - Functional Index/Assistive Technology Short Forms
NIH Toolbox - Emotion - Psychological Wellbeing - Life Satisfaction,NIH Toolbox - Emotio...
NIH Toolbox - Social Withdrawal Parent Report FF Ages 3-12 v2.0,NIH Toolbox - Social Wit...
NIH Toolbox - Emotion - Social Relationships - Positive Social Development,NIH Toolbox -...
NIH Toolbox - Positive Peer Interaction Parent Report FF Ages 3-12 v2.0,NIH Toolbox - Po...
NIH Toolbox - Peer Rejection Parent Report FF Ages 3-12 v2.0,NIH Toolbox - Peer Rejectio...
NIH Toolbox - Self-Efficacy CAT Ages 13-17 v2.0,NIH Toolbox - Self-Efficacy CAT Ages 13-...
NIH Toolbox - Empathic Behaviors Parent Report CAT Ages 3-12 v2.0,NIH Toolbox - Empathic...
NIH Toolbox - Fear - Over Anxious Parent Report FF Ages 3-7 v2.0,NIH Toolbox - Fear - Ov...
NIH Toolbox - Fear - Separation Anxiety Parent Report FF Ages 3-7 v2.0,NIH Toolbox - Fea...
NIH Toolbox - Sadness Parent Report FF Ages 3-7 v2.0,NIH Toolbox - Sadness Parent Report...
NIH Toolbox - Sadness Parent Report FF ages 8-12 v2.0,NIH Toolbox - Sadness Parent Repor...
NIH Toolbox - Anger Parent Report CAT Ages 8-12 v2.0,NIH Toolbox - Anger Parent Report C...
NIH Toolbox - Anger - Parent Report FF Ages 3-7 v2.0,NIH Toolbox - Anger - Parent Report...
NIH Toolbox - Fear Parent Report CAT Ages 8-12 v2.0,NIH Toolbox - Fear Parent Report CAT...
NIH Toolbox - General Life Satisfaction Parent Report FF Ages 3-12 v2.0,NIH Toolbox - Ge...
NIH Toolbox - Perceived Stress Parent Report CAT Ages 8-12 v2.0,NIH Toolbox - Perceived ...
NIH Toolbox - Self-Efficacy Parent Report CAT Ages 8-12 v2.0,NIH Toolbox - Self-Efficacy...
NIH Toolbox - General Life Satisfaction FF Ages 8-12 v2.0,NIH Toolbox - General Life Sat...
NIH Toolbox - Positive Affect FF Ages 13-17 v2.0,NIH Toolbox - Positive Affect Fixed For...
NIH Toolbox - Emotion - Psychological Well-Being - Positive Affect,NIH Toolbox - Emotion...
NIH Toolbox - Domain-Specific Life Satisfaction FF Age 18+ v2.0,NIH Toolbox - Domain-Spe...
NIH Toolbox - Anger FF Ages 8-17 v2.0,NIH Toolbox - Anger Fixed Form Ages 8-17 v2.0
NIH Toolbox - Emotion - Negative Affect - Sadness,NIH Toolbox - Emotion - Negative Affec...
NIH Toolbox - Emotional Support FF Ages 8-17 v2.0,NIH Toolbox - Emotional Support Fixed ...
NIH Toolbox - Emotional Support Fixed Form Age 18+ v2.0,NIH Toolbox - Emotional Support ...
NIH Toolbox - Fear FF Ages 8-17 v2.0,NIH Toolbox - Fear Fixed Form Ages 8-17 v2.0
NIH Toolbox - Friendship FF Age 18+ v2.0,NIH Toolbox - Friendship Fixed Form Age 18+ v2....
NIH Toolbox - Friendship FF Ages 8-17 v2.0,NIH Toolbox - Friendship Fixed Form Ages 8-17...
NIH Toolbox - Loneliness FF Age 18+ v2.0,NIH Toolbox - Loneliness Fixed Form Age 18+ v2....
NIH Toolbox - Loneliness FF Ages 8-17 v2.0,NIH Toolbox - Loneliness Fixed Form Ages 8-17...
NIH Toolbox - Perceived Hostility FF Age 18+ v2.0,NIH Toolbox - Perceived Hostility Fixe...
NIH Toolbox - Perceived Hostility FF Ages 8-17 v2.0,NIH Toolbox - Perceived Hostility Fi...
NIH Toolbox - Emotion - Stress and Self-Efficacy,NIH Toolbox - Emotion - Stress and Self...
NIH Toolbox - Perceived Rejection FF Age 18+ v2.0,NIH Toolbox - Perceived Rejection Fixe...
NIH Toolbox - Sadness FF Age 18+ v2.0,NIH Toolbox - Sadness Fixed Form Age 18+ v2.0
NIH Toolbox - Sadness FF Ages 8-17 v2.0,NIH Toolbox - Sadness Fixed Form Ages 8-17 v2.0
NIH Toolbox - Perceived Stress FF Ages 13-17 v2.0,NIH Toolbox - Perceived Stress Fixed F...
NIH Toolbox - Perceived Stress FF Age 18+ v2.0,NIH Toolbox - Perceived Stress Fixed Form...
NIH Toolbox - Self-Efficacy CAT Age 18+ v2.0,NIH Toolbox - Self-Efficacy CAT Age 18+ v2....
NIH Toolbox - General Life Satisfaction Fixed Form A Age 18+ v2.0,NIH Toolbox - General ...
NIH Toolbox - General Life Satisfaction Fixed Form B Age 18+ v2.0,NIH Toolbox - General ...
NIH Toolbox - Anger - Affect CAT Age 18+ v2.0,NIH Toolbox - Anger - Affect CAT Age 18+ v...
NIH Toolbox - Anger - Affect FF Age 18+ v2.0,NIH Toolbox - Anger-Affect Fixed Form Age 1...
NIH Toolbox - Anger - Physical Aggression FF Age 18+ v2.0,NIH Toolbox - Anger - Physical...
NIH Toolbox - Sadness CAT Age 18+ v2.0,NIH Toolbox - Sadness CAT Age 18+ v2.0
NIH Toolbox - Anger - Hostility FF Age 18+ v2.0,NIH Toolbox - Anger - Hostility Fixed Fo...
NIH Toolbox - Sadness Parent Report CAT Ages 8-12 v2.0,NIH Toolbox - Sadness Parent Repo...
NIH Toolbox - Fear-Affect FF Age 18+ v2.0,NIH Toolbox - Fear-Affect Fixed Form Age 18+ v...
NIH Toolbox - Fear - Affect CAT Age 18+ v2.0,NIH Toolbox - Fear - Affect CAT Age 18+ v2....
NIH Toolbox - Emotion -Negative Affect - Anger,NIH Toolbox - Emotion -Negative Affect - ...
NIH Toolbox - NIH Toolbox - Emotion - Social Relationships - Companionship,NIH Toolbox -...
NIH Toolbox - Instrumental Support FF Age 18+ v2.0,NIH Toolbox - Instrumental Support Fi...
NIH Toolbox - Meaning and Purpose FF Age 18+ v2.0,NIH Toolbox - Meaning and Purpose Fixe...
NIH Toolbox - Meaning and Purpose CAT Age 18+ v2.0,NIH Toolbox - Meaning and Purpose CAT...
WPAI:IBS-C,Work Productivity and Activity Impairment: Irritable Bowel Syndrome with Cons...
NIH Toolbox - Apathy FF Age 18+ v2.0,NIH Toolbox - Apathy Fixed Form Age 18+ v2.0
NIH Toolbox - Domain-Specific Life Satisfaction FF Ages 8-17 v2.0,NIH Toolbox - Domain-S...
BDHI,Buss-Durkee Hostility Inventory
ABS,Aggressive Behavior Scale
AIHQ,Ambiguous Intentions Hostility Questionnaire
AS,Aggression Scale
ASC-12,Allodynia Symptom Checklist
ASP,Autonomic Symptom Profile
FMI,Freiburg Mindfulness Inventory
MAAS,Mindful Attention Awareness Scale
SMQ,Southampton Mindfulness Questionnaire
BARS,Behavioural Activity Rating Scale
BARS,Brief Agitation Rating Scale
DSIS or DSIRS,Daily Sleep Interference Scale or Daily Sleep Interference Rating Scale
EncephalApp,EncephalApp Stroop Test
FAST,Functioning Assessment Short Test
VIS-22,Vitiligo Impact Scale-22
BQ Neck Pain,Bournemouth Questionnaire - Neck Pain
SIGH-SAD-SR,Structured Interview Guide for the Hamilton Depression Rating Scale – Season...
